Name Code Northings Eastings Elevation Longitude Latitude H Antenna_offset Solution Satellites PDOP Horizontal_error Vertical_error Time HRMS VRMS
4 set1 4092027.6587 597277.58287 3.092 -121.907156802 36.9693267812 -30.167 0 Fix 12 1.682 0.01 0.019 "2024-10-23 10:09:38" NaN NaN
5 set1 4091992.33234 597278.43247 3.751 -121.9071518111 36.9690083027 -29.511 0 Fix 12 1.682 0.01 0.021 "2024-10-23 10:10:21" NaN NaN
7 set2 4091982.14423 597294.85945 3.74 -121.9069686103 36.9689147804 -29.522 0 Fix 12 1.828 0.015 0.031 "2024-10-23 10:37:37" NaN NaN
8 set2 4092019.4409 597308.40959 2.73 -121.9068116028 36.9692495276 -30.53 0 Fix 12 1.856 0.017 0.034 "2024-10-23 10:39:35" NaN NaN
10 set2 4091975.21152 597308.41656 3.747 -121.9068172256 36.968850895 -29.516 0 Fix 12 1.875 0.014 0.028 "2024-10-23 10:40:58" NaN NaN
11 set2 4091996.18731 597321.94671 2.868 -121.9066625461 36.9690385468 -30.393 0 Fix 12 1.885 0.014 0.028 "2024-10-23 10:41:42" NaN NaN
12 set2 4091968.57371 597331.7075 3.581 -121.9065564696 36.9687886603 -29.681 0 Fix 12 1.894 0.014 0.028 "2024-10-23 10:42:25" NaN NaN
13 set3 4091990.31456 597390.67947 3.686 -121.9058912719 36.9689785043 -29.574 0 Fix 12 1.948 0.015 0.031 "2024-10-23 10:47:40" NaN NaN
14 set3 4091969.42892 597365.39865 3.024 -121.906177929 36.9687928821 -30.238 0 Fix 12 1.957 0.023 0.047 "2024-10-23 10:48:51" NaN NaN
15 set3 4091977.572 597340.13425 3.201 -121.9064606572 36.9688688885 -30.061 0 Fix 12 1.96 0.018 0.038 "2024-10-23 10:49:25" NaN NaN
16 set3 4091955.69693 597345.62914 3.702 -121.9064017574 36.9686711637 -29.561 0 Fix 12 1.963 0.016 0.032 "2024-10-23 10:49:57" NaN NaN
17 set3 4091949.17793 597371.19752 3.524 -121.9061154061 36.9686097633 -29.739 0 Fix 11 2.052 0.017 0.035 "2024-10-23 10:50:44" NaN NaN
18 set4 4091983.80334 597417.87829 4.244 -121.9055866052 36.9689170039 -29.017 0 Fix 12 1.974 0.023 0.047 "2024-10-23 10:54:50" NaN NaN
19 set4 4091958.74474 597432.16506 3.601 -121.9054293653 36.9686896757 -29.661 0 Fix 12 1.972 0.019 0.04 "2024-10-23 10:56:09" NaN NaN
20 set4 4091939.19834 597401.74161 3.089 -121.905773613 36.9685166574 -30.175 0 Fix 12 1.967 0.014 0.028 "2024-10-23 10:57:37" NaN NaN
21 set4 4091929.95344 597433.44867 2.713 -121.9054186633 36.9684300517 -30.55 0 Fix 12 1.963 0.016 0.034 "2024-10-23 10:58:29" NaN NaN
22 set4 4091918.81055 597403.30671 2.93 -121.9057586638 36.9683327437 -30.334 0 Fix 12 1.96 0.016 0.032 "2024-10-23 10:59:13" NaN NaN
23 set5 4091898.2449 597500.65377 2.676 -121.904667892 36.968137306 -30.588 0 Fix 11 2.15 0.012 0.026 "2024-10-23 11:04:48" NaN NaN
24 set5 4091896.29342 597480.71666 2.918 -121.9048920823 36.9681217836 -30.347 0 Fix 12 1.896 0.012 0.025 "2024-10-23 11:06:22" NaN NaN
25 set5 4091917.33917 597468.14545 2.565 -121.905030568 36.9683127676 -30.699 0 Fix 12 1.89 0.012 0.025 "2024-10-23 11:06:56" NaN NaN
26 set5 4091890.4218 597455.71752 3.315 -121.9051736363 36.9680714534 -29.95 0 Fix 12 1.882 0.015 0.032 "2024-10-23 11:07:35" NaN NaN
27 set5 4091877.66926 597477.75462 3.353 -121.9049277573 36.9679542341 -29.913 0 Fix 12 1.874 0.016 0.038 "2024-10-23 11:08:15" NaN NaN
